Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
348,1670990426.571,57.4,19.5,0.0,94,63,61
349,1670990456.602,41.9,16.7,0.0,98,69,60
350,1670990486.633,38.6,16.6,0.0,95,62,61
351,1670990516.674,39.1,16.9,0.0,95,63,60
352,1670990546.691,39.1,16.6,0.0,96,67,58
353,1670990576.722,38.5,16.7,0.0,97,62,59
354,1670990606.75,38.1,16.9,0.0,96,66,61
355,1670990636.78,37.5,16.8,0.0,95,61,61
356,1670990666.809,37.0,16.7,0.0,98,68,61
357,1670990696.838,36.8,16.9,0.0,95,65,60
358,1670990726.867,36.1,16.8,0.0,97,68,60
359,1670990756.896,35.9,16.7,0.0,95,65,60
360,1670990786.926,37.2,16.6,0.0,95,61,60
361,1670990816.962,37.4,16.7,0.0,97,68,60
362,1670990847.005,37.0,16.8,0.0,95,65,59
363,1670990877.025,39.0,17.1,0.0,96,64,58
364,1670990907.054,40.2,17.2,0.0,95,65,59
365,1670990937.083,41.4,17.3,0.0,95,60,61
366,1670990967.118,41.3,17.6,0.0,97,61,61
367,1670990997.148,41.3,17.7,0.0,97,64,61
368,1670991027.177,40.0,19.4,0.0,95,63,61
369,1670991057.206,34.8,11.7,0.0,96,67,61
370,1670991087.235,56.6,11.9,0.0,98,69,61
371,1670991117.264,58.3,12.1,0.0,96,67,60
372,1670991147.293,54.0,12.4,0.0,95,65,60
373,1670991177.322,53.7,12.6,0.0,95,65,60
374,1670991207.351,53.1,11.5,0.0,95,61,59
375,1670991237.38,51.2,11.5,0.0,98,69,61
376,1670991267.409,60.5,13.0,0.0,94,64,61
377,1670991297.442,85.2,14.7,0.0,95,65,61
378,1670991327.484,85.6,16.4,0.0,95,66,62
379,1670991357.503,85.6,18.2,0.0,97,68,61
380,1670991387.532,85.1,20.2,0.0,97,69,62
381,1670991417.561,82.9,19.8,0.0,95,65,65
382,1670991447.59,67.5,10.9,0.0,97,61,65
383,1670991477.622,48.9,10.9,0.0,97,62,67
384,1670991507.651,47.1,10.9,0.0,95,65,68
385,1670991537.68,47.1,10.9,0.0,89,62,68
386,1670991567.708,47.9,10.9,0.0,97,60,69
387,1670991597.737,49.7,10.8,0.0,97,64,70
