Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
278,1670988709.826,85.2,14.7,0.0,93,65,62,0,0,25
279,1670988739.855,85.2,14.7,0.0,90,64,62,0,0,25
280,1670988769.884,85.3,14.7,0.0,97,70,62,0,0,25
281,1670988799.913,85.2,14.7,0.0,91,64,63,0,0,25
282,1670988829.942,85.2,14.7,0.0,95,68,62,0,0,25
283,1670988859.971,84.4,14.9,0.0,92,60,62,0,0,25
284,1670988889.973,84.1,15.2,0.0,97,70,62,0,0,25
285,1670988920.002,85.4,15.2,0.0,91,63,63,0,0,25
286,1670988950.031,85.4,15.2,0.0,94,59,62,0,0,25
287,1670988980.06,85.3,15.2,0.0,94,67,62,0,0,25
288,1670989010.089,85.4,15.2,0.0,95,67,62,0,0,25
289,1670989040.117,85.4,15.2,0.0,91,58,62,0,0,25
290,1670989070.146,85.4,15.2,0.0,90,61,62,0,0,25
291,1670989100.149,85.3,15.2,0.0,91,63,62,0,0,25
292,1670989130.178,85.3,15.3,0.0,96,69,63,0,0,25
293,1670989160.207,85.4,15.3,0.0,91,63,63,0,0,25
294,1670989190.236,85.4,15.4,0.0,94,67,62,0,0,25
295,1670989220.265,85.5,15.4,0.0,94,59,62,0,0,25
296,1670989250.294,85.5,15.5,0.0,94,67,62,0,0,25
297,1670989280.323,85.5,15.5,0.0,91,64,62,0,0,25
298,1670989310.351,82.7,13.1,0.0,94,60,61,0,0,25
299,1670989340.38,69.2,13.1,0.0,92,64,62,0,0,25
300,1670989370.409,70.0,13.9,0.0,93,65,62,0,0,25
301,1670989400.438,69.5,13.1,0.0,92,61,63,0,0,25
302,1670989430.467,69.2,13.1,0.0,91,64,64,0,0,25
303,1670989460.495,69.3,13.1,0.0,95,67,63,0,0,25
304,1670989490.524,70.3,13.9,0.0,94,62,64,0,0,25
305,1670989520.553,74.4,14.0,0.0,97,70,63,0,0,25
306,1670989550.581,83.2,14.5,0.0,96,68,63,0,0,25
307,1670989580.61,83.5,14.9,0.0,93,59,63,0,0,25
308,1670989610.638,85.4,15.0,0.0,91,57,63,0,0,25
309,1670989640.667,85.4,15.0,0.0,91,62,63,0,0,25
310,1670989670.696,85.5,15.0,0.0,97,69,63,0,0,25
311,1670989700.702,85.6,15.0,0.0,97,70,63,0,0,25
