Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670039805.079,6.9,35.4,0.0,93,52,74
1670039810.083,6.8,35.4,0.0,89,49,74
1670039815.087,6.7,35.4,0.0,93,52,74
1670039820.091,6.8,35.4,0.0,89,48,74
1670039825.095,6.8,35.4,0.0,93,51,74
1670039830.100,6.8,35.4,0.0,93,52,74
1670039835.104,6.9,35.4,0.0,89,49,74
1670039840.108,6.8,35.4,0.0,93,51,74
1670039845.112,6.7,35.4,0.0,93,52,74
1670039850.116,6.8,35.4,0.0,93,51,74
1670039855.120,6.7,35.4,0.0,90,50,74
1670039860.124,6.8,35.4,0.0,91,49,73
1670039865.129,6.8,35.4,0.0,93,51,74
1670039870.133,6.8,35.4,0.0,93,52,74
1670039875.143,6.8,35.4,0.0,93,51,74
1670039880.147,6.8,35.4,0.0,93,52,74
1670039885.150,6.7,35.4,0.0,92,52,74
1670039890.157,6.8,35.4,0.0,92,51,74
1670039895.168,6.8,35.4,0.0,93,51,74
1670039900.172,6.9,35.4,0.0,91,50,74
1670039905.176,6.7,35.4,0.0,93,51,74
1670039910.187,6.9,35.4,0.0,93,52,74
1670039915.191,6.7,35.4,0.0,93,51,73
1670039920.195,6.8,35.4,0.0,91,51,74
1670039925.200,6.9,35.4,0.0,93,51,74
1670039930.209,6.8,35.4,0.0,93,52,74
1670039935.218,6.7,35.4,0.0,91,50,74
1670039940.227,6.8,35.4,0.0,93,52,74
1670039945.231,6.7,35.4,0.0,89,50,74
1670039950.235,6.8,35.4,0.0,90,49,74
1670039955.239,6.8,35.4,0.0,93,51,74
1670039960.243,6.8,35.4,0.0,93,51,74
1670039965.247,6.7,35.4,0.0,92,51,74
1670039970.250,6.8,35.4,0.0,92,51,74
1670039975.254,6.8,35.4,0.0,93,51,73
1670039980.258,6.8,35.4,0.0,93,52,74
1670039985.266,6.9,35.4,0.0,92,50,74
1670039990.277,6.9,35.4,0.0,93,52,74
1670039995.281,6.7,35.4,0.0,91,51,74
1670040000.288,6.8,35.4,0.0,92,50,74
1670040005.292,6.7,35.4,0.0,93,51,74
1670040010.299,6.8,35.4,0.0,91,51,74
1670040015.303,6.9,35.4,0.0,92,51,74
1670040020.307,6.8,35.4,0.0,92,51,73
1670040025.311,6.7,35.4,0.0,93,51,74
1670040030.315,6.9,35.4,0.0,93,52,74
1670040035.319,6.7,35.4,0.0,93,50,74
1670040040.323,6.8,35.4,0.0,93,51,74
1670040045.327,7.2,35.4,0.0,86,48,74
1670040050.331,6.8,35.4,0.0,90,49,74
1670040055.339,6.8,35.4,0.0,93,51,74
1670040060.352,6.8,35.4,0.0,89,50,74
1670040065.356,6.8,35.4,0.0,88,48,74
1670040070.360,6.8,35.4,0.0,93,52,74
1670040075.364,6.9,35.4,0.0,92,51,74
1670040080.369,6.9,35.4,0.0,92,51,74
1670040085.373,6.7,35.4,0.0,93,51,73
1670040090.377,6.8,35.4,0.0,89,48,74
1670040095.381,6.7,35.4,0.0,92,51,73
1670040100.394,6.8,35.4,0.0,93,51,74
1670040105.398,6.9,35.4,0.0,92,51,74
1670040110.409,6.8,35.4,0.0,92,50,74
1670040115.413,6.7,35.4,0.0,93,51,73
1670040120.417,6.8,35.4,0.0,85,47,74
1670040125.421,6.7,35.4,0.0,92,52,73
1670040130.425,6.8,35.4,0.0,92,51,73
1670040135.428,6.8,35.4,0.0,93,51,74
1670040140.432,6.8,35.4,0.0,93,51,73
