Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670098981.271,6.6,7.8,0.0,93,49,68
1670098986.275,6.7,7.8,0.0,93,51,69
1670098991.279,6.7,7.8,0.0,95,52,69
1670098996.283,6.6,7.8,0.0,95,53,69
1670099001.287,6.7,7.8,0.0,95,53,70
1670099006.291,6.7,7.8,0.0,95,53,70
1670099011.295,6.6,7.8,0.0,95,54,70
1670099016.299,6.7,7.8,0.0,94,52,70
1670099021.303,6.7,7.8,0.0,94,51,71
1670099026.307,6.6,7.8,0.0,94,52,71
1670099031.311,6.7,7.8,0.0,95,53,71
1670099036.315,6.7,7.8,0.0,95,53,72
1670099041.322,6.6,7.8,0.0,95,52,72
1670099046.335,6.7,7.8,0.0,93,52,72
1670099051.349,6.7,7.8,0.0,95,53,72
1670099056.358,6.6,7.8,0.0,94,52,73
1670099061.371,6.7,7.8,0.0,93,51,73
1670099066.375,6.7,7.8,0.0,92,50,73
1670099071.390,6.6,7.8,0.0,94,52,73
1670099076.391,6.8,7.8,0.0,95,53,73
1670099081.397,6.7,7.8,0.0,95,53,73
1670099086.408,6.6,7.8,0.0,93,52,74
1670099091.416,6.7,7.8,0.0,93,52,74
1670099096.420,6.6,7.8,0.0,93,52,74
1670099101.424,6.6,7.8,0.0,92,51,74
1670099106.428,6.7,7.8,0.0,93,52,74
1670099111.432,6.7,7.8,0.0,95,53,74
1670099116.440,6.6,7.8,0.0,94,53,74
1670099121.444,6.6,7.8,0.0,93,50,74
1670099126.448,6.7,7.8,0.0,89,48,74
1670099131.454,6.6,7.8,0.0,94,51,74
1670099136.464,6.7,7.8,0.0,93,50,74
1670099141.468,6.6,7.8,0.0,95,52,74
1670099146.472,6.6,7.8,0.0,95,53,74
1670099151.476,6.7,7.8,0.0,95,52,75
1670099156.480,6.7,7.8,0.0,95,52,74
1670099161.493,6.6,7.8,0.0,95,52,74
1670099166.504,6.7,7.8,0.0,95,52,74
1670099171.517,7.0,7.8,0.0,95,52,74
1670099176.522,6.6,7.8,0.0,95,52,74
1670099181.526,6.7,7.8,0.0,95,53,74
1670099186.530,6.7,7.8,0.0,95,52,75
1670099191.534,6.6,7.8,0.0,92,51,75
1670099196.541,6.7,7.8,0.0,94,52,75
1670099201.546,6.7,7.8,0.0,93,52,74
1670099206.549,6.6,7.8,0.0,93,52,75
1670099211.553,6.7,7.8,0.0,95,53,75
1670099216.557,6.7,7.8,0.0,94,53,75
1670099221.561,6.6,7.8,0.0,95,53,75
1670099226.564,6.7,7.8,0.0,95,53,75
1670099231.569,6.7,7.8,0.0,93,51,74
1670099236.573,6.6,7.8,0.0,95,53,74
1670099241.577,6.7,7.8,0.0,95,53,74
1670099246.592,6.7,7.8,0.0,95,53,75
1670099251.594,6.6,7.8,0.0,94,52,74
1670099256.600,6.7,7.8,0.0,90,50,74
1670099261.604,6.7,7.8,0.0,95,53,75
1670099266.622,6.6,7.8,0.0,94,52,74
1670099271.615,6.7,7.8,0.0,93,51,75
1670099276.623,6.7,7.8,0.0,92,50,75
1670099281.627,6.6,7.8,0.0,90,49,75
1670099286.639,6.7,7.8,0.0,92,50,75
1670099291.653,6.7,7.8,0.0,93,50,74
1670099296.649,6.6,7.8,0.0,94,50,75
1670099301.653,6.7,7.8,0.0,95,52,75
1670099306.656,6.7,7.8,0.0,93,50,74
1670099311.659,6.6,7.8,0.0,93,50,75
1670099316.663,6.7,7.8,0.0,93,51,75
1670099321.667,6.7,7.8,0.0,94,52,75
1670099326.677,6.6,7.8,0.0,95,52,75
1670099331.681,6.7,7.8,0.0,95,51,74
1670099336.685,6.7,7.8,0.0,94,51,75
1670099341.689,6.6,7.8,0.0,95,52,75
1670099346.693,6.7,7.8,0.0,95,52,74
1670099351.705,6.7,7.8,0.0,95,52,75
1670099356.709,6.6,7.8,0.0,95,52,75
1670099361.719,6.7,7.8,0.0,95,53,75
1670099366.724,6.7,7.8,0.0,94,52,75
1670099371.739,6.6,7.8,0.0,95,53,75
1670099376.736,6.8,7.8,0.0,95,52,75
1670099381.751,6.7,7.8,0.0,95,53,75
1670099386.758,6.6,7.8,0.0,95,52,74
1670099391.749,6.7,7.8,0.0,95,52,74
1670099396.753,6.7,7.8,0.0,95,53,75
1670099401.757,6.6,7.8,0.0,95,52,75
1670099406.770,6.7,7.8,0.0,95,53,75
1670099411.780,6.7,7.8,0.0,94,53,75
1670099416.785,6.6,7.8,0.0,95,52,75
1670099421.789,6.7,7.8,0.0,95,53,75
1670099426.793,6.7,7.8,0.0,95,53,75
1670099431.801,6.6,7.8,0.0,95,53,74
1670099436.805,6.8,7.8,0.0,95,53,75
1670099441.809,6.7,7.8,0.0,95,53,75
1670099446.814,6.6,7.8,0.0,95,53,75
1670099451.818,6.7,7.8,0.0,95,52,74
1670099456.821,6.7,7.8,0.0,95,52,75
