Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1670258102.192,6.7,8.3,0.0,62,17,65,99,25,60
1670258106.579,6.6,8.3,0.0,98,27,63,94,23,58
1670258107.197,6.6,8.3,0.0,13,6,64,13,2,59
1670258111.583,6.5,8.3,0.0,100,27,63,32,8,58
1670258112.201,6.5,8.3,0.0,97,24,63,93,25,59
1670258116.588,6.7,8.3,0.0,6,3,64,74,19,59
1670258117.205,6.7,8.3,0.0,99,26,63,95,23,58
1670258121.598,6.5,8.3,0.0,90,23,64,92,26,59
1670258122.210,6.5,8.3,0.0,33,7,64,57,16,59
1670258126.605,6.5,8.3,0.0,60,17,63,54,15,58
1670258127.215,6.5,8.3,0.0,89,25,63,26,10,59
1670258131.610,6.7,8.3,0.0,56,16,65,93,24,60
1670258132.219,6.7,8.3,0.0,63,17,63,99,27,58
1670258136.613,6.5,8.3,0.0,57,15,63,42,12,58
1670258137.223,6.5,8.3,0.0,23,2,64,13,2,59
1670258141.622,6.5,8.3,0.0,90,23,64,96,25,59
1670258142.227,6.5,8.3,0.0,98,24,64,59,16,58
1670258146.626,6.6,8.3,0.0,44,10,63,69,20,58
1670258147.230,6.6,8.3,0.0,8,1,64,64,17,59
1670258151.632,6.5,8.3,0.0,25,6,64,51,14,60
1670258152.234,6.5,8.3,0.0,95,24,65,77,19,60
1670258156.637,6.5,8.3,0.0,70,19,65,40,13,59
1670258157.241,6.5,8.3,0.0,57,15,64,82,25,59
1670258161.642,6.6,8.3,0.0,88,25,64,99,27,58
1670258162.245,6.6,8.3,0.0,57,12,65,22,10,60
1670258166.646,6.7,8.3,0.0,25,10,64,8,3,59
1670258167.249,6.6,8.3,0.0,59,16,65,99,25,60
1670258171.650,6.5,8.3,0.0,100,28,65,95,23,60
1670258172.256,6.6,8.3,0.0,81,21,63,99,27,58
1670258176.655,6.7,8.3,0.0,1,0,63,26,6,58
1670258177.260,6.6,8.3,0.0,27,11,65,5,2,59
1670258181.660,6.5,8.3,0.0,13,6,65,84,22,60
1670258182.267,6.5,8.3,0.0,100,26,64,95,23,59
1670258186.664,6.5,8.3,0.0,94,25,64,81,24,59
1670258187.273,6.5,8.3,0.0,28,7,65,53,9,60
1670258191.669,6.7,8.3,0.0,60,17,65,69,19,60
1670258192.277,6.7,8.3,0.0,71,18,65,66,17,60
1670258196.674,6.6,8.3,0.0,45,14,65,83,22,60
1670258197.283,6.6,8.3,0.0,75,22,64,99,26,59
1670258201.677,6.5,8.3,0.0,92,25,64,60,17,59
1670258202.287,6.5,8.3,0.0,58,12,65,30,8,60
1670258206.682,6.7,8.3,0.0,38,10,65,37,13,60
1670258207.291,6.7,8.3,0.0,95,25,66,68,18,60
1670258211.686,6.5,8.3,0.0,90,24,65,56,16,60
1670258212.295,6.5,8.3,0.0,31,8,64,64,19,59
1670258216.689,6.5,8.3,0.0,61,17,64,93,26,59
1670258217.300,6.5,8.3,0.0,67,18,65,33,12,59
1670258221.693,6.7,8.3,0.0,100,27,64,43,12,59
1670258222.304,6.7,8.3,0.0,75,22,64,100,27,59
1670258226.697,6.6,8.3,0.0,99,27,64,98,24,59
1670258227.308,6.6,8.3,0.0,69,16,64,3,1,60
1670258231.703,6.5,8.3,0.0,8,4,65,29,6,60
1670258232.313,6.5,8.3,0.0,38,13,65,93,23,60
1670258236.708,6.6,8.3,0.0,97,24,66,87,23,61
1670258237.319,6.6,8.3,0.0,1,0,64,33,8,59
1670258241.714,6.5,8.3,0.0,39,10,64,70,20,59
1670258242.324,6.5,8.3,0.0,8,1,65,59,16,60
1670258246.719,6.5,8.3,0.0,22,4,65,45,14,60
1670258247.333,6.5,8.3,0.0,95,23,64,74,22,59
1670258251.726,6.7,8.3,0.0,95,25,64,91,26,59
1670258252.337,6.7,8.3,0.0,61,17,66,100,26,59
1670258256.737,6.8,8.3,0.0,18,2,65,63,17,60
1670258257.348,7.0,8.3,0.0,31,7,64,51,15,59
1670258261.741,6.7,8.2,0.0,30,10,64,30,10,58
1670258262.351,6.5,8.2,0.0,15,4,63,9,2,57
1670258266.746,6.6,8.2,0.0,7,2,64,30,10,57
1670258267.356,6.6,8.2,0.0,8,3,63,5,2,57
1670258271.750,6.5,8.2,0.0,27,10,63,10,4,58
1670258272.364,6.4,8.2,0.0,54,19,64,28,10,57
1670258276.755,6.5,8.1,0.0,7,0,61,100,2,56
1670258277.369,6.5,8.3,0.0,0,0,61,100,2,56
1670258281.761,6.9,8.2,0.0,99,26,63,95,24,57
1670258282.373,6.9,8.2,0.0,13,6,64,22,3,58
1670258286.767,6.6,8.2,0.0,59,8,62,90,26,57
1670258287.377,6.6,8.2,0.0,61,16,63,40,14,58
1670258291.771,6.4,8.2,0.0,16,7,64,23,5,58
1670258292.381,6.6,8.2,0.0,100,26,64,93,24,59
1670258296.775,6.7,8.2,0.0,67,17,64,36,13,59
1670258297.391,6.6,8.2,0.0,64,10,63,94,26,58
1670258301.779,6.5,8.2,0.0,94,22,64,94,28,59
1670258302.398,6.5,8.2,0.0,99,27,63,41,12,57
1670258306.785,6.5,8.2,0.0,40,11,64,25,10,58
1670258307.403,6.5,8.2,0.0,7,1,63,66,21,59
1670258311.789,6.7,8.2,0.0,11,5,64,15,1,59
1670258312.407,6.7,8.2,0.0,45,14,64,93,22,59
1670258316.794,6.6,8.2,0.0,65,17,64,44,15,59
1670258317.411,6.6,8.2,0.0,93,24,63,97,20,58
1670258321.798,6.5,8.2,0.0,24,10,64,95,27,60
1670258322.417,6.5,8.2,0.0,99,27,63,100,28,58
1670258326.802,6.7,8.2,0.0,71,18,64,65,17,59
1670258327.421,6.7,8.2,0.0,52,15,63,51,13,58
1670258331.806,6.5,8.2,0.0,99,27,63,72,14,58
1670258332.426,6.5,8.2,0.0,17,8,64,41,6,59
1670258336.817,6.5,8.2,0.0,19,3,63,11,5,59
1670258337.430,6.5,8.2,0.0,20,9,64,29,11,59
1670258341.822,6.7,8.2,0.0,31,12,65,95,25,59
1670258342.436,6.7,8.2,0.0,89,26,63,100,26,58
1670258346.826,6.5,8.2,0.0,36,10,65,23,10,59
1670258347.440,6.5,8.2,0.0,7,1,64,40,11,59
